Sample Name,SYN-HER001,SYN-HER002,SYN-HER003,SYN-HER004,SYN-HER005,SYN-HER006,SYN-HER007,SYN-HER008,SYN-HER009,SYN-HER010,SYN-COC011,SYN-COC012,SYN-COC013,SYN-COC014,SYN-COC015,SYN-COC016,SYN-COC017,SYN-COC018,SYN-COC019,SYN-COC020,SYN-MDM021,SYN-MDM022,SYN-MDM023,SYN-MDM024,SYN-MDM025,SYN-MDM026,SYN-MDM027,SYN-MDM028,SYN-MDM029,SYN-MDM030,SYN-KET031,SYN-KET032,SYN-KET033,SYN-KET034,SYN-KET035,SYN-KET036,SYN-KET037,SYN-KET038,SYN-KET039,SYN-KET040
SYN-COC011,0.482377,0.455683,0.472215,0.463745,0.456803,0.459354,0.466921,0.480166,0.458836,0.46485,1.0,0.672295,0.86287,0.826486,0.74475,0.748454,0.882712,0.902281,0.965155,0.825576,0.477344,0.46637,0.452929,0.452442,0.461498,0.455963,0.479883,0.444626,0.448643,0.454193,0.482527,0.477571,0.443395,0.476612,0.471045,0.471189,0.485536,0.454878,0.446926,0.456401
SYN-COC012,0.510576,0.477565,0.497943,0.485694,0.47876,0.48225,0.491445,0.507808,0.481624,0.488006,0.672295,1.0,0.648004,0.736594,0.662051,0.762887,0.648581,0.684661,0.661166,0.672442,0.504292,0.490771,0.474523,0.473939,0.484844,0.478163,0.507455,0.464638,0.469407,0.476037,0.510764,0.504574,0.463182,0.503382,0.496502,0.496678,0.514548,0.476859,0.467365,0.478689
SYN-COC013,0.479482,0.453144,0.469549,0.459744,0.454119,0.456957,0.464369,0.483186,0.456449,0.461607,0.86287,0.648004,1.0,0.779762,0.724707,0.71477,0.838794,0.852893,0.868835,0.813246,0.474565,0.463829,0.450657,0.45193,0.459057,0.453632,0.477046,0.443406,0.447832,0.453161,0.479629,0.476988,0.441702,0.478148,0.471035,0.468545,0.485449,0.452568,0.445988,0.45879
SYN-COC014,0.504466,0.473979,0.492406,0.488875,0.475782,0.477362,0.486185,0.501827,0.47676,0.486816,0.826486,0.736594,0.779762,1.0,0.797118,0.883846,0.832149,0.82205,0.809081,0.811089,0.498473,0.485539,0.46993,0.469367,0.479854,0.473433,0.501491,0.4604,0.465,0.471387,0.504645,0.498742,0.458995,0.497604,0.491027,0.491197,0.508247,0.472178,0.463032,0.473939
SYN-COC015,0.516965,0.48404,0.503707,0.502845,0.486224,0.487315,0.49691,0.514055,0.486663,0.498998,0.74475,0.662051,0.724707,0.797118,1.0,0.787304,0.767359,0.758689,0.733231,0.777404,0.510363,0.496206,0.479272,0.478665,0.49002,0.483059,0.513684,0.469009,0.473956,0.480847,0.517162,0.510659,0.4675,0.509408,0.502198,0.502383,0.521145,0.481702,0.471838,0.483607
SYN-COC016,0.519073,0.485733,0.505604,0.505312,0.48799,0.488976,0.498706,0.516115,0.488315,0.501094,0.748454,0.762887,0.71477,0.883846,0.787304,1.0,0.755846,0.747441,0.732725,0.769255,0.512363,0.497991,0.480828,0.480213,0.491718,0.484663,0.515738,0.470438,0.475445,0.482422,0.519274,0.512663,0.46891,0.511393,0.504072,0.50426,0.523324,0.483289,0.4733,0.485218
SYN-COC017,0.480196,0.454652,0.470207,0.467105,0.456175,0.457548,0.464998,0.478023,0.457038,0.465457,0.882712,0.648581,0.838794,0.832149,0.767359,0.755846,1.0,0.850595,0.88353,0.802162,0.47525,0.464455,0.451218,0.450737,0.459659,0.454208,0.477745,0.443031,0.446992,0.452463,0.480343,0.475473,0.441816,0.47453,0.469056,0.469197,0.483298,0.453138,0.445299,0.454639
SYN-COC018,0.48359,0.456435,0.47333,0.463225,0.457437,0.460356,0.467988,0.481356,0.459833,0.465144,0.902281,0.684661,0.852893,0.82205,0.758689,0.747441,0.850595,1.0,0.901318,0.793744,0.478507,0.467432,0.453878,0.453386,0.462518,0.456937,0.481071,0.44551,0.449558,0.455151,0.483741,0.478736,0.44427,0.477768,0.472149,0.472294,0.48678,0.455843,0.447827,0.457378
SYN-COC019,0.476946,0.451267,0.467211,0.45875,0.45232,0.454849,0.462128,0.47483,0.45435,0.459981,0.965155,0.661166,0.868835,0.809081,0.733231,0.732725,0.88353,0.901318,1.0,0.806783,0.472128,0.461597,0.448658,0.448187,0.456913,0.451583,0.474559,0.440642,0.444522,0.449876,0.477089,0.472345,0.439452,0.471427,0.466087,0.466225,0.479966,0.450537,0.442864,0.452004
SYN-COC020,0.50936,0.477183,0.496842,0.488682,0.47869,0.48128,0.490401,0.512238,0.48066,0.488916,0.825576,0.672442,0.813246,0.811089,0.777404,0.769255,0.802162,0.793744,0.806783,1.0,0.503134,0.489732,0.473612,0.474639,0.483854,0.477225,0.506268,0.464615,0.469793,0.476278,0.509546,0.505517,0.462718,0.506328,0.497896,0.495589,0.516088,0.475931,0.467619,0.482102
SYN-MDM021,0.517807,0.483074,0.504465,0.49159,0.485049,0.487979,0.497628,0.514877,0.487324,0.494016,0.477344,0.504292,0.474565,0.498473,0.510363,0.512363,0.47525,0.478507,0.472128,0.503134,1.0,0.762142,0.808276,0.786032,0.827636,0.798451,0.84364,0.753745,0.772074,0.803394,0.567282,0.543288,0.473006,0.532435,0.514489,0.503133,0.566336,0.482337,0.472423,0.484251
SYN-MDM022,0.502837,0.471594,0.490927,0.479324,0.475365,0.476052,0.484778,0.500232,0.475457,0.481518,0.46637,0.490771,0.463829,0.485539,0.496206,0.497991,0.464455,0.467432,0.461597,0.489732,0.762142,1.0,0.720727,0.729474,0.801701,0.718773,0.799582,0.729438,0.725277,0.733546,0.549278,0.527339,0.46271,0.51718,0.500605,0.489731,0.548067,0.470923,0.461867,0.472665
SYN-MDM023,0.485035,0.457588,0.474659,0.464446,0.4586,0.461548,0.469259,0.482776,0.461021,0.466385,0.452929,0.474523,0.450657,0.46993,0.479272,0.480828,0.451218,0.453878,0.448658,0.473612,0.808276,0.720727,1.0,0.891599,0.804754,0.791819,0.759986,0.837286,0.884013,0.895227,0.5345,0.512296,0.450602,0.501634,0.485254,0.473612,0.532246,0.45699,0.4489,0.458541
SYN-MDM024,0.484399,0.457081,0.474075,0.463909,0.458089,0.461024,0.4687,0.485702,0.460499,0.465839,0.452442,0.473939,0.45193,0.469367,0.478665,0.480213,0.450737,0.453386,0.448187,0.474639,0.786032,0.729474,0.891599,1.0,0.826734,0.81237,0.737131,0.899447,0.965675,0.956858,0.534532,0.513841,0.450466,0.504444,0.486578,0.473032,0.534678,0.456486,0.449168,0.46088
SYN-MDM025,0.496321,0.466511,0.484992,0.473914,0.468511,0.470782,0.479127,0.493847,0.470212,0.476012,0.461498,0.484844,0.459057,0.479854,0.49002,0.491718,0.459659,0.462518,0.456913,0.483854,0.827636,0.801701,0.804754,0.826734,1.0,0.873105,0.764324,0.842641,0.825241,0.848929,0.546731,0.523586,0.458585,0.512676,0.495597,0.483853,0.544777,0.465867,0.457172,0.467537
SYN-MDM026,0.489007,0.460745,0.478303,0.467791,0.461784,0.464813,0.472743,0.486674,0.464271,0.469785,0.455963,0.478163,0.453632,0.473433,0.483059,0.484663,0.454208,0.456937,0.451583,0.477225,0.798451,0.718773,0.791819,0.81237,0.873105,1.0,0.709816,0.833153,0.813649,0.84138,0.538313,0.515976,0.453389,0.505325,0.488803,0.477224,0.536222,0.460131,0.451831,0.461723
SYN-MDM027,0.521332,0.485736,0.507633,0.494444,0.488921,0.49075,0.500625,0.518321,0.49008,0.496927,0.479883,0.507455,0.477046,0.501491,0.513684,0.515738,0.477745,0.481071,0.474559,0.506268,0.84364,0.799582,0.759986,0.737131,0.764324,0.709816,1.0,0.704934,0.724619,0.741816,0.567708,0.54472,0.475055,0.534456,0.516958,0.506267,0.567282,0.484982,0.47486,0.486939
SYN-MDM028,0.474297,0.448963,0.464764,0.455328,0.45005,0.452641,0.459781,0.474013,0.452151,0.457123,0.444626,0.464638,0.443406,0.4604,0.469009,0.470438,0.443031,0.44551,0.440642,0.464615,0.753745,0.729438,0.837286,0.899447,0.842641,0.833153,0.704934,1.0,0.922867,0.90418,0.523676,0.502887,0.443035,0.492997,0.476396,0.463798,0.522322,0.448407,0.441248,0.451303
SYN-MDM029,0.479469,0.453133,0.469537,0.459732,0.454108,0.456945,0.464357,0.480082,0.456438,0.461596,0.448643,0.469407,0.447832,0.465,0.473956,0.475445,0.446992,0.449558,0.444522,0.469793,0.772074,0.725277,0.884013,0.965675,0.825241,0.813649,0.724619,0.922867,1.0,0.946729,0.529261,0.508558,0.446867,0.498949,0.481666,0.468533,0.528726,0.452557,0.445339,0.456292
SYN-MDM030,0.486686,0.458902,0.476174,0.465838,0.459926,0.462907,0.470708,0.486965,0.462373,0.4678,0.454193,0.476037,0.453161,0.471387,0.480847,0.482422,0.452463,0.455151,0.449876,0.476278,0.803394,0.733546,0.895227,0.956858,0.848929,0.84138,0.741816,0.90418,0.946729,1.0,0.537135,0.515729,0.452041,0.505869,0.488221,0.475114,0.536635,0.458298,0.450655,0.461923
SYN-KET031,0.525029,0.488511,0.510946,0.497423,0.489818,0.493641,0.503757,0.521931,0.492955,0.499966,0.482527,0.510764,0.479629,0.504645,0.517162,0.519274,0.480343,0.483741,0.477089,0.509546,0.567282,0.549278,0.5345,0.534532,0.546731,0.538313,0.567708,0.523676,0.529261,0.537135,1.0,0.858681,0.693009,0.798022,0.801643,0.775068,0.888495,0.746765,0.698316,0.692712
SYN-KET032,0.518121,0.483312,0.504747,0.491845,0.484565,0.488227,0.497895,0.519933,0.48757,0.494275,0.477571,0.504574,0.476988,0.498742,0.510659,0.512663,0.475473,0.478736,0.472345,0.505517,0.543288,0.527339,0.512296,0.513841,0.523586,0.515976,0.54472,0.502887,0.508558,0.515729,0.858681,1.0,0.758825,0.911119,0.898608,0.746505,0.913418,0.794861,0.768599,0.779263
SYN-KET033,0.47272,0.447686,0.463306,0.45398,0.448616,0.451324,0.458383,0.471474,0.450839,0.455755,0.443395,0.463182,0.441702,0.458995,0.4675,0.46891,0.441816,0.44427,0.439452,0.462718,0.473006,0.46271,0.450602,0.450466,0.458585,0.453389,0.475055,0.443035,0.446867,0.452041,0.693009,0.758825,1.0,0.762711,0.797721,0.669487,0.707907,0.838494,0.937245,0.818883
SYN-KET034,0.516795,0.482307,0.503554,0.490768,0.48355,0.487181,0.496765,0.523223,0.48653,0.493178,0.476612,0.503382,0.478148,0.497604,0.509408,0.511393,0.47453,0.477768,0.471427,0.506328,0.532435,0.51718,0.501634,0.504444,0.512676,0.505325,0.534456,0.492997,0.498949,0.505869,0.798022,0.911119,0.762711,1.0,0.90423,0.722167,0.869317,0.782628,0.779398,0.826064
SYN-KET035,0.509163,0.47648,0.496664,0.484536,0.477664,0.481123,0.490231,0.512013,0.480503,0.486826,0.471045,0.496502,0.471035,0.491027,0.502198,0.504072,0.469056,0.472149,0.466087,0.497896,0.514489,0.500605,0.485254,0.486578,0.495597,0.488803,0.516958,0.476396,0.481666,0.488221,0.801643,0.898608,0.797721,0.90423,1.0,0.761024,0.839664,0.85108,0.821191,0.828425
SYN-KET036,0.509359,0.47663,0.496841,0.484696,0.477816,0.481279,0.4904,0.506617,0.480659,0.486989,0.471189,0.496678,0.468545,0.491197,0.502383,0.50426,0.469197,0.472294,0.466225,0.495589,0.503133,0.489731,0.473612,0.473032,0.483853,0.477224,0.506267,0.463798,0.468533,0.475114,0.775068,0.746505,0.669487,0.722167,0.761024,1.0,0.745838,0.765071,0.686543,0.668315
SYN-KET037,0.529269,0.49167,0.514736,0.500821,0.493011,0.496936,0.507334,0.532445,0.496232,0.503435,0.485536,0.514548,0.485449,0.508247,0.521145,0.523324,0.483298,0.48678,0.479966,0.516088,0.566336,0.548067,0.532246,0.534678,0.544777,0.536222,0.567282,0.522322,0.528726,0.536635,0.888495,0.913418,0.707907,0.869317,0.839664,0.745838,1.0,0.747158,0.717221,0.735979
SYN-KET038,0.487583,0.459616,0.476998,0.466594,0.460645,0.463645,0.471496,0.485277,0.463108,0.468568,0.454878,0.476859,0.452568,0.472178,0.481702,0.483289,0.453138,0.455843,0.450537,0.475931,0.482337,0.470923,0.45699,0.456486,0.465867,0.460131,0.484982,0.448407,0.452557,0.458298,0.746765,0.794861,0.838494,0.782628,0.85108,0.765071,0.747158,1.0,0.861821,0.783244
SYN-KET039,0.477253,0.45135,0.467493,0.457848,0.45231,0.455104,0.462399,0.477577,0.454604,0.459682,0.446926,0.467365,0.445988,0.463032,0.471838,0.4733,0.445299,0.447827,0.442864,0.467619,0.472423,0.461867,0.4489,0.449168,0.457172,0.451831,0.47486,0.441248,0.445339,0.450655,0.698316,0.768599,0.937245,0.779398,0.821191,0.686543,0.717221,0.861821,1.0,0.848302
SYN-KET040,0.489582,0.461201,0.47883,0.468275,0.462244,0.465284,0.473246,0.497028,0.46474,0.470276,0.456401,0.478689,0.45879,0.473939,0.483607,0.485218,0.454639,0.457378,0.452004,0.482102,0.484251,0.472665,0.458541,0.46088,0.467537,0.461723,0.486939,0.451303,0.456292,0.461923,0.692712,0.779263,0.818883,0.826064,0.828425,0.668315,0.735979,0.783244,0.848302,1.0
