Sample Name,SYN-HER001,SYN-HER002,SYN-HER003,SYN-HER004,SYN-HER005,SYN-HER006,SYN-HER007,SYN-HER008,SYN-HER009,SYN-HER010,SYN-COC011,SYN-COC012,SYN-COC013,SYN-COC014,SYN-COC015,SYN-COC016,SYN-COC017,SYN-COC018,SYN-COC019,SYN-COC020,SYN-MDM021,SYN-MDM022,SYN-MDM023,SYN-MDM024,SYN-MDM025,SYN-MDM026,SYN-MDM027,SYN-MDM028,SYN-MDM029,SYN-MDM030,SYN-KET031,SYN-KET032,SYN-KET033,SYN-KET034,SYN-KET035,SYN-KET036,SYN-KET037,SYN-KET038,SYN-KET039,SYN-KET040
SYN-COC011,0.0,0.142857,0.0,0.2,0.142857,0.0,0.0,0.0,0.0,0.166667,1.0,0.5,0.2,0.75,0.4,0.75,0.5,0.4,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.333333,0.666667,0.25,0.666667,0.333333,0.666667,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2,0.333333,1.0,0.25,0.25,0.25,0.333333,0.25,0.2,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.25,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.25,0.333333
SYN-COC014,0.0,0.166667,0.0,0.25,0.166667,0.0,0.0,0.0,0.0,0.2,0.75,0.666667,0.25,1.0,0.5,1.0,0.666667,0.5,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC015,0.0,0.166667,0.0,0.25,0.166667,0.0,0.0,0.0,0.0,0.2,0.4,0.25,0.25,0.5,1.0,0.5,0.666667,0.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC016,0.0,0.166667,0.0,0.25,0.166667,0.0,0.0,0.0,0.0,0.2,0.75,0.666667,0.25,1.0,0.5,1.0,0.666667,0.5,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC017,0.0,0.2,0.0,0.333333,0.2,0.0,0.0,0.0,0.0,0.25,0.5,0.333333,0.333333,0.666667,0.666667,0.666667,1.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.666667,0.25,0.5,0.5,0.5,0.25,1.0,0.4,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC019,0.0,0.142857,0.0,0.2,0.142857,0.0,0.0,0.0,0.0,0.166667,1.0,0.5,0.2,0.75,0.4,0.75,0.5,0.4,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN-COC020,0.0,0.142857,0.0,0.2,0.142857,0.0,0.0,0.166667,0.0,0.166667,0.6,0.2,0.5,0.4,0.4,0.4,0.5,0.166667,0.6,1.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.142857,0.166667,0.142857,0.0,0.142857,0.142857,0.142857,0.142857,0.0,0.142857,0.0,0.166667,0.2
SYN-MDM021,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.4,0.75,0.5,0.75,0.6,0.4,0.6,0.166667,0.142857,0.142857,0.142857,0.142857,0.0,0.142857,0.0,0.0,0.0
SYN-MDM022,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.333333,0.25,0.666667,0.333333,0.666667,0.5,0.25,0.2,0.25,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
SYN-MDM023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333333,1.0,0.666667,0.25,0.333333,0.666667,0.2,0.666667,0.5,0.25,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
SYN-MDM024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.4,0.25,0.666667,1.0,0.2,0.25,0.5,0.4,1.0,0.75,0.2,0.4,0.4,0.4,0.4,0.0,0.4,0.0,0.2,0.25
SYN-MDM025,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.666667,0.25,0.2,1.0,0.666667,0.5,0.75,0.2,0.4,0.2,0.166667,0.166667,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.0
SYN-MDM026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.333333,0.333333,0.25,0.666667,1.0,0.25,0.5,0.25,0.5,0.25,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
SYN-MDM027,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.666667,0.666667,0.5,0.5,0.25,1.0,0.4,0.5,0.4,0.2,0.166667,0.166667,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.0
SYN-MDM028,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.6,0.5,0.2,0.4,0.75,0.5,0.4,1.0,0.4,0.6,0.166667,0.333333,0.333333,0.333333,0.333333,0.0,0.333333,0.0,0.166667,0.2
SYN-MDM029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.4,0.25,0.666667,1.0,0.2,0.25,0.5,0.4,1.0,0.75,0.2,0.4,0.4,0.4,0.4,0.0,0.4,0.0,0.2,0.25
SYN-MDM030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.6,0.2,0.5,0.75,0.4,0.5,0.4,0.6,0.75,1.0,0.166667,0.333333,0.333333,0.333333,0.333333,0.0,0.333333,0.0,0.166667,0.2
SYN-KET031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.25,0.25,0.2,0.2,0.25,0.2,0.166667,0.2,0.166667,1.0,0.75,0.75,0.75,0.75,0.666667,0.75,0.666667,0.5,0.25
SYN-KET032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.2,0.2,0.4,0.166667,0.2,0.166667,0.333333,0.4,0.333333,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,0.5
SYN-KET033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.2,0.2,0.4,0.166667,0.2,0.166667,0.333333,0.4,0.333333,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,0.5
SYN-KET034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.2,0.2,0.4,0.166667,0.2,0.166667,0.333333,0.4,0.333333,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,0.5
SYN-KET035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.2,0.2,0.4,0.166667,0.2,0.166667,0.333333,0.4,0.333333,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,0.5
SYN-KET036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.666667,0.333333
SYN-KET037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.142857,0.2,0.2,0.4,0.166667,0.2,0.166667,0.333333,0.4,0.333333,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.75,0.5
SYN-KET038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.666667,0.333333
SYN-KET039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.166667,0.2,0.166667,0.5,0.75,0.75,0.75,0.75,0.666667,0.75,0.666667,1.0,0.666667
SYN-KET040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.25,0.2,0.25,0.5,0.5,0.5,0.5,0.333333,0.5,0.333333,0.666667,1.0
